neutrons	中子
proton	质子
nucleus	原子核
nuclei	原子核（复数）
photon	光子
transition element	过渡元素
isotope	同位素
nuclear charge	核元素
positive ion	正离子
negative ion	负离子
cation	阳离子
anion	阴离子
electronegativity	电负性
hybrid orbitals	杂化轨道
electrostatic attraction	静电吸引
ligands	配体
coordination compounds	配位化合物
oxygen	氧气
oxidant	氧化剂
oxidizing agent	氧化剂
reductant	还原剂
reducing agent	还原剂
redox reaction	氧化还原剂
substitution reaction	取代反应
addition reaction	加成反应
synthesis reaction	合成反应
reaction stoichiometry	化学反应计量学
stoichiometric point	化学计量点
stoichiometric ration	化学计量比
fluorine	氟
chlorine	氯
bromine	溴
iodine	碘
fluoride ion	氟离子
chloride ion	氯离子
bromide ion	溴离子
iodide ion	碘离子
halogen	卤素
halides	卤化物
oxiden	氧化物
phenylarsine oxiden	氧化苯砷
sulfur	硫
sulfuric acid	硫酸
hydrochloric acid	盐酸
nitric acid	硝酸
phosphoric acid	磷酸
perchloric acid	高氯酸
carbon	碳
carbonates	碳酸盐（酯）
sulfates	硫酸盐（酯）
nitrates	硝酸盐（酯）
phosphates	磷酸盐（酯）
sodium hydroxide	氢氧化钠
potassium hydroxide	氢氧化钾
ammonium nitrite	亚硝酸胺
ammonium nitrate	硝酸铵
lithium aluminium hydride	氢化铝锂，四氢化锂铝
ammonium cyanate	氰酸铵
potassium cyanide	氰化钾
ammonia	氨，氨水
amino	氨基
amino group	氨基
amino acid	氨基酸
2-aminoethanol	2-氨基乙醇
alkanes	烷烃
alkenes	烯烃
alkynes	炔烃
arenes	芳烃
aromatic compounds	芳香族化合物
aliphatic compounds	脂族化合物
methane	甲烷
ethane	乙烷
ethene	乙烯
ethyne	乙炔
cyclopentane	环戊烷
cyclopropane	环丙烷
cyclohexane	环己烷
benzene	苯
phenyl	苯基
benzene derivatives	苯的衍生物
3,3-dimethylhexane	3,3-二甲基己烷
alkyl	烷基
alkyl group	烷基
functional groups	官能团
hydroxy	羟（基）
hydroxyl	羟基
carboxylic acids	羧酸类
ketones	酮类
aldehydes	醛类
esters	酯类
ethers	醚类
methanol	甲醇
ethanol	乙醇
acetone	丙酮
formaldehyde	甲醛
acetaldehyde	乙醛
formic acid	甲酸
acetic acid	乙酸 
analytical balance	分析天平
acid-base titrations	酸碱滴定
acid-base neutralization	酸碱中和
potentiometric detection	电位（势）法检测
potential	电位
pH electrode	pH电极
UV-Vis absorption spectroscopy	紫外-可见吸收光谱
ultraviolet	紫外线
visible light	可见光
atomic absorption spectroscopy	原子吸收光谱法
atomic emission spectroscopy	原子发射光谱法
mass spectrometry	质谱法 
gas chromatography	气相色谱法 
high performance liquid chromatography	高效液相色谱法
atomizer	原子化器
nebulizer	雾化器
graphite	石墨
graphite furnace	石墨炉
sample matrix	样品基体
two immiscible phases	互不混溶的两相
an accurately known volume	准确已知体积
convection	对流
conduction	传导
radiation	辐射
distillation	蒸馏
fractional distillation	分馏
vaporization	汽化
crystallization	结晶
separation	分离
extraction	萃取
precipitation	沉淀
concentration	浓缩，富集
ignition	点燃，灼烧
dissolution	溶解
decomposition	分解
dissociation	离解
degradation	降解
desolvation	脱溶剂，去溶剂化
solvate	溶剂化物
solvent	溶剂
solute	溶质
polymer	高聚物，聚合物
radiu	半径
radii	半径（复数）
diameter	直径
