console	安慰，慰问；控制台，仪表板
consist	组成，构成；一致，符合
consistent	前后一致的，始终如一的
constant	坚定的，永恒的，忠实的；经常的，不断的
constituent	构成的，组成的；成分，要素
constitute	组成，构成；建立，制定
constitution	构成，构造；体格，体质；宪法
constrain	强迫(某人)做某事
construct	建造，构造；创立，构思
distinct	有区别的；明显的
distinction	差别，区分
distinguish	区别，辨别；使杰出
overlook	眺望；忽略；宽容，放任
overseas	外国的，海外的；在海外
fruitful	多产的，果实累累的；富有成效的
frustrate	挫败，阻挠，使灰心；使无效
fulfil/fulfill	履行，实现，完成；(使)满意
function	功能，职责；运行，起作用
fund	资金，基金；储备，蕴藏
fundamental	基础的，基本的；基本原则
anguish	极度痛苦，苦恼；使痛苦，悲痛
annoy	使恼怒，使生气；打搅，骚扰
annual	每年的；全年的；年刊，年鉴
monopoly	垄断，专卖
monotonous	单调无聊的，毫无变化的
mood	心境，情绪；语气
transmission	播送，发射，传送，传染，传播
transmit	传送，传递；播送，发射；传染，传播
transplant	移植，移种；移居
transport	运输，运送；运输系统，运载工具
stride	阔步前进；大步，阔步
strike	打击，进攻；罢工；偶然发现
striking	显著的，突出的
string	细绳；一连串，一系列；串起
structure	建筑物；结构，构造
stun	使震惊，使晕倒；晕眩，惊倒
primary	初级的，最初的；首要的；基本的
prime	第一的，原始的；初期，全盛时期；使准备好，做准备
primitive	早期的；简单的，粗糙的，落后的
principal	最重要的，主要的；负责人；资本；主角；当事人
principle	原理，原则
psychiatry	精神病学，精神病治疗法
psychology	心理学，心理；心理特征
liability	责任，义务；债务；倾向
liable	负有(法律)责任的，有义务的；易出问题的，易患病的
liberal	不严格的；(政治或经济上)自由的，支持(社会、政治)变革的；慷慨的；宽容的人，
开明的人
liberate	解放，释放，使自由
license/licence	许可证，执照；准许，认可
innocent	清白的，无罪的；天真的，单纯的
innovation	革新，改革；新方法，新技术，新思想
environment	环境，客观环境，自然环境，生态环境
enterprise	事业心，进取心；事业，企(事)业单位
entertain	招待，款待；使有兴趣
entertainment	招待，款待；文娱节目
pose	摆姿势，炫耀；提出；陈述；产生，引起，造成；冒充，假扮；姿势；姿态
position	位置，地方；地位，身份，等级；职位；姿态；见解，立场，态度；处境，状况；安置；安装；使处于，定位
positive	积极乐观的，自信的；确实的，明确的，肯定的；积极的，建设性的；十足的,完全的；优势,优点
possess	拥有(某物)；拥有(某种品质或才能)；支配，控制
possession	拥有；所有权；财产，所有物
dilute	冲淡；削弱，降低；稀释的，冲淡的
dim	暗淡的，模糊的；愚笨的；不乐观的
diminish	削弱，减少，缩小；贬低，轻视
amateur	业余爱好者；外行；业余爱好的；外行的
amaze	使惊愕，使惊异
ambiguous	含糊不清的，模棱两可的，不明确的
ambition	野心；雄心，抱负；追求的目标
ambitious	有雄心的，野心勃勃的；费力的；耗时的；耗资的；艰巨的
bubble	水泡，气泡；幻想的计划
budget	预算；财政收支状况；做预算，按计划花钱
build	体形，体格，身材；结构；建造，建立
business	商业，生意，营业额；任务，职责，公事；企业，公司，店铺，商号
compress	压缩；精简，浓缩
comprise	包含，包括；构成，组成
compromise	妥协，折中
conceive	构想出，设想；想象；认为
